system,algorithm,n_runs,success_count,failure_count,success_rate,budget,mean_final_fitness,std_final_fitness,median_final_fitness,min_final_fitness,max_final_fitness,mean_loss_kW,std_loss_kW,median_loss_kW,min_loss_kW,max_loss_kW,mean_voltage_dev_pu,std_voltage_dev_pu,median_voltage_dev_pu,min_voltage_dev_pu,max_voltage_dev_pu,mean_cost_abs_usd_per_year,std_cost_abs_usd_per_year,median_cost_abs_usd_per_year,min_cost_abs_usd_per_year,max_cost_abs_usd_per_year,mean_pf_calls,std_pf_calls,median_pf_calls,min_pf_calls,max_pf_calls,mean_runtime_sec,std_runtime_sec,median_runtime_sec,min_runtime_sec,max_runtime_sec,mean_fitness,std_fitness,median_fitness,min_fitness,max_fitness
IEEE33,DE,10,10,0,1.0,1200,0.5382836685252252,0.003939522955910981,0.537855123710383,0.5330823024441537,0.5463833983560705,85.06290402525931,3.2596433166410868,85.60152424840791,80.2058844661573,90.21319732853637,0.02464449129809087,0.0012765969868352826,0.024321158497973845,0.022148065078427644,0.026383679956844337,107291.68216484276,3306.3101116549287,107957.31396364866,102217.84551335032,112033.86883040414,1152.0,74.18894796396563,1200.0,1008.0,1200.0,1.1175031500000159,0.11610005649358893,1.096771550000085,0.9522657999998501,1.396039200000132,0.5382836685252252,0.003939522955910981,0.537855123710383,0.5330823024441537,0.5463833983560705
IEEE33,GA,10,10,0,1.0,1200,0.5549406747936696,0.013998742490844072,0.5546141951230497,0.5363252705243724,0.5895968581901813,95.7070425130795,5.60796141085262,95.10093448875887,88.7740194282757,108.31969933416026,0.021989111711911244,0.001077879150789687,0.022097231351306437,0.020600438894292028,0.023990791087919707,116510.73947425486,5048.221499500234,115651.16382806044,110638.8316687779,128247.44292267304,1104.3,57.230625057257974,1121.5,942.0,1128.0,1.336299820000022,0.33845696084039734,1.2040220999999747,0.9810953000001064,1.927312499999971,0.5549406747936696,0.013998742490844072,0.5546141951230497,0.5363252705243724,0.5895968581901813
IEEE33,PSO,10,10,0,1.0,1200,0.5377644960528399,0.005577452319904055,0.5387325426079678,0.5242394210827763,0.5427154430558164,88.3667681309684,3.398005817527195,87.25754352764929,84.82570963282991,95.8057598577546,0.022973830183969687,0.0015047855416676678,0.022961480084163904,0.019611349067076327,0.02490381560000321,110928.24936716791,3569.8008860248356,109801.4830959883,106974.27809546709,118489.30204586337,1111.2,146.66424240420704,1200.0,768.0,1200.0,1.0944948599999407,0.15780675680927786,1.1575230999999349,0.7373889999998937,1.2513269000000946,0.5377644960528399,0.005577452319904055,0.5387325426079678,0.5242394210827763,0.5427154430558164
IEEE33,GA-PSO,10,10,0,1.0,1200,0.5545243226416453,0.010531215686703259,0.5554522864301026,0.5399860363482276,0.5745179075976867,93.92710437778663,5.170078959762108,94.35924022407238,87.4908148054288,101.17563859262377,0.022735665416850057,0.0012808821761668325,0.02281868021251094,0.020886245788937247,0.0244100730582614,114954.12067351709,5127.920520112413,115684.55746554045,108288.93195280865,122431.44162599662,792.0,0.0,792.0,792.0,792.0,0.8802981099999897,0.053111106154580374,0.8809398000000783,0.7964346999999634,0.9924247000001287,0.5545243226416453,0.010531215686703259,0.5554522864301026,0.5399860363482276,0.5745179075976867
IEEE69,DE,10,10,0,1.0,1240,0.5289645630190513,0.004756616825859945,0.5285760953455207,0.5230420197828503,0.5367677222900409,106.1556162231827,4.621518770220617,105.24244586789035,98.01021686140898,112.28392472347976,0.024041087220819133,0.0014083027883340057,0.024354536469733092,0.022013589915278235,0.02682939132036593,139831.54131671786,4431.536935372203,139145.071633828,131484.91292304464,146031.0255418554,1149.6,122.08849249622176,1224.0,936.0,1224.0,1.2642528000000084,0.2724407071120815,1.2261669499999925,0.8492091000000528,1.7194051999999829,0.5289645630190513,0.004756616825859945,0.5285760953455207,0.5230420197828503,0.5367677222900409
IEEE69,GA,10,1,9,0.1,1240,0.7610432869998289,0.1742264100353288,0.696061076446906,0.5746033357862997,1.1379174476835834,130.40368805797806,8.115065555176281,127.56611810398208,119.66488824706947,148.8072407205981,0.02202689265157054,0.0008436897408749566,0.022226792582052204,0.02033457713865407,0.0230138419803632,160428.07422905526,6840.497458633183,157892.9709952384,152807.64486541596,175746.87255081,1112.4,128.65043075455804,1159.0,751.0,1167.0,1.0497932900000024,0.1644925896838882,1.0285677499999792,0.7133401000000958,1.3019549999999072,0.7610432869998289,0.1742264100353288,0.696061076446906,0.5746033357862997,1.1379174476835834
IEEE69,PSO,10,9,1,0.9,1240,0.5366585301513006,0.011348262431365863,0.5374860857992232,0.5138474651313675,0.5526387319245444,110.74135944310744,5.385578555386407,111.2976621274788,99.63197855937952,118.76566276829344,0.022970360039526204,0.0016355072736554714,0.023105743223609934,0.02052246365749925,0.02504840157957273,144416.89566393994,5148.827636114748,144376.7066788504,133721.93730560804,153613.6670072896,1116.0,141.4213562373095,1188.0,816.0,1224.0,0.8819472099999757,0.133663361485645,0.9100652999999284,0.6108878999998524,1.0484609000000091,0.5366585301513006,0.011348262431365863,0.5374860857992232,0.5138474651313675,0.5526387319245444
IEEE69,GA-PSO,10,4,6,0.4,1240,0.6722018678883117,0.12775204208288818,0.6457533213092033,0.5475889749597473,0.9305668270021281,127.35344353989095,7.7631930050470475,128.3382047316222,116.73700766917547,139.81704535596984,0.022285448810371575,0.0011398213488868745,0.021782863218996577,0.021225303364633543,0.024619464799862822,158036.02550753858,6087.336501458182,158729.303995896,149699.34724402742,168090.7782625674,792.0,0.0,792.0,792.0,792.0,0.7266352900000583,0.064571870426065,0.7081696999999849,0.6651084999998602,0.8956967000001441,0.6722018678883117,0.12775204208288818,0.6457533213092033,0.5475889749597473,0.9305668270021281
BaituF8-redacted,DE,10,10,0,1.0,1320,0.5441446377454687,0.004359074906009023,0.5433819956078005,0.5365989010719999,0.5516582111093469,93.40908416647123,3.3395614513840357,94.17626849994384,86.24125290403774,97.6997944857124,0.024452958266168057,0.0014028849568513719,0.024253479371912558,0.022757397954400155,0.027313081049869715,128701.6961272398,3188.5034851027135,129074.91462347627,122713.37119174829,133743.02382751726,1293.6,83.48413022844522,1320.0,1056.0,1320.0,1.2618529400000171,0.26555652999227564,1.1937193500000376,0.9860237000000325,1.9837316000000556,0.5441446377454687,0.004359074906009023,0.5433819956078005,0.5365989010719999,0.5516582111093469
BaituF8-redacted,GA,10,8,2,0.8,1320,0.5838385268789744,0.013351051582920504,0.5866561896270364,0.5632905144447712,0.6094505613770969,112.69895313276109,4.715224520287264,112.15245158910949,106.52598133824588,122.0537798716943,0.021315812452975726,0.0007323873975679168,0.021351460004548423,0.020062767368147733,0.022226768403949933,143149.18650015697,3798.4174939523878,142605.10244593752,136871.57301789423,149824.824993682,1247.6,13.133502536981096,1251.5,1213.0,1260.0,1.1229066099999954,0.09168450687999245,1.106306199999949,1.0057286999999633,1.3164383000000726,0.5838385268789744,0.013351051582920504,0.5866561896270364,0.5632905144447712,0.6094505613770969
